,BI,CSPRIA,ELFA,ELISA,EMSA,ESMA,FL,IAFL,IAGE,IARA,IASP,ITC,KinExA,RA,SE,SFFL,SFPF,SP,SPR,SPR;SFFL,nan
BI,,,,,,,,,,,,,,,,,,1.0  0.5065493  2  2,,,
CSPRIA,NA,,,,,,,,,,,,,,,,,,,,
ELFA,NA,NA,,1.0  0.4977502  2  2,,,,,,,,,,,,,,,0.3929429  0.2672733  5  5,,
ELISA,NA,NA,1.0  0.4977502  2  2,,,,,,,,,,0.9651364  0.0001  37  37,,,,,,0.9273476  0.0001  31  31,,
EMSA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
ESMA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
FL,NA,NA,NA,NA,NA,NA,,,,,0.9997083  0.0001  12  12,,,,,,,,,,
IAFL,NA,NA,NA,NA,NA,NA,NA,,,,,0.907708  0.0001  27  27,,,,0.9393703  0.0001  9  9,,,,,
IAGE,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
IARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,0.5427877  0.0052995  23  23,,,,,0.8189777  0.0001  29  29,,
IASP,NA,NA,NA,NA,NA,NA,0.9997083  0.0001  12  12,NA,NA,NA,,0.9232215  0.0001  33  33,,,,0.2492229  0.2928707  4  4,,0.9994378  0.0181982  5  5,0.9362425  0.0001  16  16,,
ITC,NA,NA,NA,NA,NA,NA,NA,0.907708  0.0001  27  27,NA,NA,0.9232215  0.0001  33  33,,,1.0  0.5007499  2  2,,0.9746037  0.0001  32  32,,,0.9570003  0.0001  38  38,,
KinExA,NA,NA,NA,0.9651364  0.0001  37  37,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,1.0  0.4977502  2  2,,
RA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5427877  0.0052995  23  23,NA,1.0  0.5007499  2  2,NA,,,,,,0.9411786  0.0001  44  44,,
SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,0.9524039  0.0001  13  13,,
SFFL,NA,NA,NA,NA,NA,NA,NA,0.9393703  0.0001  9  9,NA,NA,0.2492229  0.2928707  4  4,0.9746037  0.0001  32  32,NA,NA,NA,,,,0.0347866  0.4336566  9  9,,
SFPF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
SP,1.0  0.5065493  2  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9994378  0.0181982  5  5,NA,NA,NA,NA,NA,NA,,0.9202328  0.0001  46  46,,
SPR,NA,NA,0.3929429  0.2672733  5  5,0.9273476  0.0001  31  31,NA,NA,NA,NA,NA,0.8189777  0.0001  29  29,0.9362425  0.0001  16  16,0.9570003  0.0001  38  38,1.0  0.4977502  2  2,0.9411786  0.0001  44  44,0.9524039  0.0001  13  13,0.0347866  0.4336566  9  9,NA,0.9202328  0.0001  46  46,,,
SPR;SFFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
