,BI,CSPRIA,ELFA,ELISA,EMSA,ESMA,FL,IAFL,IAGE,IARA,IASP,ITC,KinExA,RA,SE,SFFL,SFPF,SP,SPR,SPR;SFFL,nan
BI,,,,,,,,,,,,,,,,,,,,,
CSPRIA,,,,,,,,,,,,,,,,,,,,,
ELFA,,,1.0,1.0,,,,,,,,,,,,,,,0.39294290293792283,,
ELISA,,,1.0,1.0,,,,,,,,,,,,,,,0.9273475978998794,,
EMSA,,,,,,,,,,,,,,,,,,,,,
ESMA,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,
IAFL,,,,,,,,,,,,,,,,,,,,,
IAGE,,,,,,,,,,,,,,,,,,,,,
IARA,,,,,,,,,,1.0,,,,0.5427877470946515,,,,,0.8189776960443126,,
IASP,,,,,,,,,,,1.0,0.9232214683195067,,,,0.24922292906066376,,0.9994378257868912,0.9362425024874299,,
ITC,,,,,,,,,,,0.9232214683195067,1.0,,1.0,,0.9746036858977487,,,0.9570002967444049,,
KinExA,,,,,,,,,,,,,,,,,,,,,
RA,,,,,,,,,,0.5427877470946515,,1.0,,1.0,,,,,0.9411786240775175,,
SE,,,,,,,,,,,,,,,1.0,,,,0.9524039342892106,,
SFFL,,,,,,,,,,,0.24922292906066376,0.9746036858977487,,,,1.0,,,0.03478658201045115,,
SFPF,,,,,,,,,,,,,,,,,,,,,
SP,,,,,,,,,,,0.9994378257868912,,,,,,,1.0,0.9202327834679462,,
SPR,,,0.39294290293792283,0.9273475978998794,,,,,,0.8189776960443126,0.9362425024874299,0.9570002967444049,,0.9411786240775175,0.9524039342892106,0.03478658201045115,,0.9202327834679462,1.0,,
SPR;SFFL,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,
