,BI,CSPRIA,ELFA,ELISA,EMSA,ESMA,FL,IAFL,IAGE,IARA,IASP,ITC,KinExA,RA,SE,SFFL,SFPF,SP,SPR,SPR;SFFL,nan
BI,,,,,,,,,,,,,,,,,,1.0  2  2,,,
CSPRIA,NA,,,,,,,,,,,,,,,,,,,,
ELFA,NA,NA,,1.0  2  2,,,,,,,,,,,,,,,0.393  5  5,,
ELISA,NA,NA,1.0  2  2,,,,,,,,,,0.965  37  37,,,,,,0.927  31  31,,
EMSA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
ESMA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
FL,NA,NA,NA,NA,NA,NA,,,,,1.0  12  12,,,,,,,,,,
IAFL,NA,NA,NA,NA,NA,NA,NA,,,,,0.906  27  27,,,,0.937  9  9,,,,,
IAGE,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
IARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,0.521  23  23,,,,,0.819  29  29,,
IASP,NA,NA,NA,NA,NA,NA,1.0  12  12,NA,NA,NA,,0.925  33  33,,,,0.272  4  4,,0.999  5  5,0.936  16  16,,
ITC,NA,NA,NA,NA,NA,NA,NA,0.906  27  27,NA,NA,0.925  33  33,,,1.0  2  2,,0.975  32  32,,,0.958  38  38,,
KinExA,NA,NA,NA,0.965  37  37,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,1.0  2  2,,
RA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521  23  23,NA,1.0  2  2,NA,,,,,,0.941  44  44,,
SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,0.952  13  13,,
SFFL,NA,NA,NA,NA,NA,NA,NA,0.937  9  9,NA,NA,0.272  4  4,0.975  32  32,NA,NA,NA,,,,0.035  9  9,,
SFPF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
SP,1.0  2  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999  5  5,NA,NA,NA,NA,NA,NA,,0.92  46  46,,
SPR,NA,NA,0.393  5  5,0.927  31  31,NA,NA,NA,NA,NA,0.819  29  29,0.936  16  16,0.958  38  38,1.0  2  2,0.941  44  44,0.952  13  13,0.035  9  9,NA,0.92  46  46,,,
SPR;SFFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
