,BI,CSPRIA,ELFA,ELISA,EMSA,ESMA,FL,IAFL,IAGE,IARA,IASP,ITC,KinExA,RA,SE,SFFL,SFPF,SP,SPR,SPR;SFFL,nan
BI,,,,,,,,,,,,,,,,,,1.0  2  2,,,
CSPRIA,,,,,,,,,,,,,,,,,,,,,
ELFA,,,,1.0  2  2,,,,,,,,,,,,,,,0.3  5  5,,
ELISA,,,1.0  2  2,,,,,,,,,,0.893  37  37,,,,,,0.916  31  31,,
EMSA,,,,,,,,,,,,,,,,,,,,,
ESMA,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,1.0  12  12,,,,,,,,,,
IAFL,,,,,,,,,,,,0.867  27  27,,,,0.946  9  9,,,,,
IAGE,,,,,,,,,,,,,,,,,,,,,
IARA,,,,,,,,,,,,,,0.501  23  23,,,,,0.652  29  29,,
IASP,,,,,,,1.0  12  12,,,,,0.799  33  33,,,,0.8  4  4,,0.9  5  5,0.891  16  16,,
ITC,,,,,,,,0.867  27  27,,,0.799  33  33,,,1.0  2  2,,0.831  32  32,,,0.967  38  38,,
KinExA,,,,0.893  37  37,,,,,,,,,,,,,,,1.0  2  2,,
RA,,,,,,,,,,0.501  23  23,,1.0  2  2,,,,,,,0.935  44  44,,
SE,,,,,,,,,,,,,,,,,,,0.986  13  13,,
SFFL,,,,,,,,0.946  9  9,,,0.8  4  4,0.831  32  32,,,,,,,0.517  9  9,,
SFPF,,,,,,,,,,,,,,,,,,,,,
SP,1.0  2  2,,,,,,,,,,0.9  5  5,,,,,,,,0.96  46  46,,
SPR,,,0.3  5  5,0.916  31  31,,,,,,0.652  29  29,0.891  16  16,0.967  38  38,1.0  2  2,0.935  44  44,0.986  13  13,0.517  9  9,,0.96  46  46,,,
SPR;SFFL,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,
