,BI,CSPRIA,ELFA,ELISA,EMSA,ESMA,FL,IAFL,IAGE,IARA,IASP,ITC,KinExA,RA,SE,SFFL,SFPF,SP,SPR,SPR;SFFL,nan
BI,1.0,,,,,,,,,,,,,,,,,1.0,,,
CSPRIA,,,,,,,,,,,,,,,,,,,,,
ELFA,,,1.0,0.9999999999999994,,,,,,,,,,,,,,,0.392942902937923,,
ELISA,,,0.9999999999999994,1.0,,,,,,,,,0.9651363609516205,,,,,,0.9273475978998793,,
EMSA,,,,,,,,,,,,,,,,,,,,,
ESMA,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,1.0,,,,0.9997083457119438,,,,,,,,,,
IAFL,,,,,,,,1.0,,,,0.9077080279230695,,,,0.9393702588932825,,,,,
IAGE,,,,,,,,,,,,,,,,,,,,,
IARA,,,,,,,,,,1.0,,,,0.5427877470946514,,,,,0.8189776960443126,,
IASP,,,,,,,0.9997083457119438,,,,1.0,0.9232214683195068,,,,0.24922292906066817,,0.9994378257868912,0.9362425024874296,,
ITC,,,,,,,,0.9077080279230695,,,0.9232214683195068,1.0,,1.0,,0.9746036858977487,,,0.957000296744405,,
KinExA,,,,0.9651363609516205,,,,,,,,,1.0,,,,,,1.0,,
RA,,,,,,,,,,0.5427877470946514,,1.0,,1.0,,,,,0.9411786240775171,,
SE,,,,,,,,,,,,,,,1.0,,,,0.9524039342892107,,
SFFL,,,,,,,,0.9393702588932825,,,0.24922292906066817,0.9746036858977487,,,,1.0,,,0.03478658201045204,,
SFPF,,,,,,,,,,,,,,,,,,,,,
SP,1.0,,,,,,,,,,0.9994378257868912,,,,,,,1.0,0.9202327834679462,,
SPR,,,0.392942902937923,0.9273475978998793,,,,,,0.8189776960443126,0.9362425024874296,0.957000296744405,1.0,0.9411786240775171,0.9524039342892107,0.03478658201045204,,0.9202327834679462,1.0,,
SPR;SFFL,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,
